symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
0,0,0,1,12228.707142857143,2,0,104.9,175.0,66.1,54.4,2700,10715.84375,2,134,13599.09090909091,3.43,3.64,22.0,72,4200,31,39,18344.0
0,1,0,1,12228.707142857143,2,0,107.9,186.7,68.4,56.7,3075,15758.57142857143,2,120,14905.180327868853,3.46,2.19,8.4,95,5000,19,24,15580.0
0,1,0,1,11600.533333333333,1,0,95.7,169.7,63.6,59.1,2280,10715.84375,2,92,7391.068627450981,3.05,3.03,9.0,62,4800,31,37,6918.0
1,1,0,1,12228.707142857143,1,0,94.5,165.3,63.8,54.5,1971,10715.84375,2,97,7391.068627450981,3.15,3.29,9.4,69,5200,31,37,7499.0
0,1,0,0,9943.596153846154,1,0,96.5,167.5,65.2,53.3,2289,10715.84375,2,110,7663.2,3.15,3.58,9.0,86,5800,27,33,9095.0
1,1,0,1,9943.596153846154,1,0,93.7,157.3,63.8,50.6,1967,10715.84375,2,90,7391.068627450981,2.97,3.23,9.4,68,5500,31,38,6229.0
2,1,0,0,9943.596153846154,1,0,93.7,157.9,63.6,53.7,2120,7951.875,2,108,7391.068627450981,3.62,2.64,8.7,73,4400,26,31,7053.0
0,0,1,1,12228.707142857143,2,0,107.9,186.7,68.4,56.7,3252,15758.57142857143,2,152,13599.09090909091,3.7,3.52,21.0,95,4150,28,33,16900.0
3,1,1,0,9943.596153846154,1,0,95.9,173.2,66.3,50.2,2811,10715.84375,2,156,12964.0,3.6,3.9,7.0,145,5000,19,24,12964.0
1,1,0,0,9943.596153846154,1,0,94.5,155.9,63.6,52.0,1874,10715.84375,2,90,7391.068627450981,3.03,3.11,9.6,70,5400,38,43,6295.0
3,1,0,0,9943.596153846154,2,0,102.9,183.5,67.7,52.0,2976,16345.125,4,171,14905.180327868853,3.27,3.35,9.3,161,5200,20,24,16558.0
-1,1,0,1,12228.707142857143,1,0,102.4,175.6,66.5,54.9,2326,10715.84375,2,122,14905.180327868853,3.31,3.54,8.7,92,4200,29,34,8948.0
1,1,0,1,11600.533333333333,1,0,94.5,170.2,63.8,53.5,2024,10715.84375,2,97,7391.068627450981,3.15,3.29,9.4,69,5200,31,37,7349.0
2,1,0,0,12228.707142857143,1,0,99.8,177.3,66.3,53.1,2507,10715.84375,3,136,14905.180327868853,3.19,3.4,8.5,110,5500,19,25,15250.0
2,1,0,0,9824.0,2,0,98.4,176.2,65.6,52.0,2540,10715.84375,2,146,14905.180327868853,3.62,3.5,9.3,116,4800,24,30,8449.0
3,1,0,0,9943.596153846154,2,0,95.3,169.0,65.7,49.6,2380,13711.666666666666,0,70,12745.0,3.33,3.255,9.4,101,6000,17,23,11845.0
2,1,0,0,9943.596153846154,1,0,93.7,157.3,64.4,50.8,1918,10715.84375,2,92,7391.068627450981,2.97,3.23,9.4,68,5500,37,41,5389.0
0,1,0,1,12228.707142857143,0,0,97.0,172.0,65.4,54.3,2385,7951.875,2,108,7391.068627450981,3.62,2.64,9.0,82,4800,24,25,9233.0
3,1,0,0,9943.596153846154,2,0,91.3,170.7,67.9,49.7,3071,15999.2,4,181,14905.180327868853,3.43,3.27,9.0,160,5200,19,25,17199.0
-1,1,0,1,9943.596153846154,1,0,102.4,175.6,66.5,53.9,2458,10715.84375,2,122,14905.180327868853,3.31,3.54,8.7,92,4200,27,32,11248.0
1,1,1,0,9943.596153846154,2,0,102.7,178.4,68.0,54.8,2910,10715.84375,2,140,14905.180327868853,3.78,3.12,8.0,175,5000,19,24,16503.0
-1,0,1,1,12228.707142857143,1,0,102.4,175.6,66.5,54.9,2480,10715.84375,2,110,13599.09090909091,3.27,3.35,22.5,73,4500,30,33,10698.0
2,1,0,0,9943.596153846154,1,0,86.6,144.6,63.9,50.8,1819,10715.84375,2,92,7663.2,2.91,3.41,9.2,76,6000,31,38,6855.0
0,1,0,0,12228.707142857143,2,0,101.2,176.8,64.8,54.3,2710,10715.84375,4,164,14905.180327868853,3.31,3.19,9.0,121,4250,21,28,20970.0
0,1,0,1,12228.707142857143,1,0,96.5,163.4,64.0,54.5,2010,10715.84375,2,92,7663.2,2.91,3.41,9.2,76,6000,30,34,7295.0
3,1,0,0,9943.596153846154,2,0,94.5,168.9,68.3,50.2,2778,10715.84375,2,151,14905.180327868853,3.94,3.11,9.5,143,5500,19,27,22018.0
1,1,0,0,12228.707142857143,1,0,96.5,169.1,66.0,51.0,2293,10715.84375,2,110,7391.068627450981,3.15,3.58,9.1,100,5500,25,31,10345.0
0,1,0,1,12228.707142857143,1,0,95.7,166.3,64.4,53.0,2081,10715.84375,2,98,7391.068627450981,3.19,3.03,9.0,70,4800,30,37,6938.0
3,1,1,0,9943.596153846154,1,0,99.1,186.6,66.5,56.1,2808,16345.125,2,121,14905.180327868853,3.54,3.07,9.0,160,5500,19,26,18150.0
